Timestamp,Starost:,Spol:,Katera družabna omrežja uporabljaš?,Amelie (2001),"Izvor (Inception,  2010)","Vitez teme (The Dark Knight, 2008)",Titanic (1997),"Beležnica (Notebook, 2004)","3 idioti (3 Idiots, 2009)","Matrica (Matrix, 1999)","Življenje je lepo (La vita e' bella, 1997)","Veliki Lebowski (Big Lebowski, 1998)","Reševanje vojaka Ryana (Saving private Ryan, 1998)","Hobiji, s katerim se ukvarjaš:","Športi, s katerimi se ukvarjaš:","Glasba, ki jo poslušaš:"
2016-06-12 06:20:36,18,Ž,Facebook;YouTube,4,4,4,3,2,1,5,5,5,4,"branje;gledališče;slikanje, risanje, fotografija;pohodništvo, hoja v hribe;kuhanje, kulinarika;reševanje ugank","tek, atletika",rock;metal;jazz;punk;folk;klasična glasba;alternativna
2016-06-12 06:21:29,19,Ž,Facebook;Pinterest;LinkedIn;Tumblr;YouTube,4,2,3,3,1,4,3,2,3,4,"branje;gledališče;pisanje poezije, proze;slikanje, risanje, fotografija;ročna dela;vrtnarjenje, botanika;reševanje ugank","tek, atletika;kolesarjenje;joga;samoobramba za ženske",rock;jazz;folk;blues;klasična glasba;alternativna
2016-06-12 06:22:01,18,Ž,Facebook;Snapchat;Instagram;Pinterest;YouTube,0,0,3,4,4,0,3,0,0,0,Gasilstvo,"odbojka;tek, atletika;smučanje, bordanje",folk
2016-06-12 06:22:21,18,M,Facebook;Snapchat;YouTube,0,0,0,3,4,3,1,0,0,4,"kuhanje, kulinarika",nogomet,"elektronska glasba (drum'n'bass, trance, dance, trap, dubstep, techno...)"
2016-06-12 06:23:14,17,Ž,Facebook;Snapchat;Instagram;Pinterest;Tumblr;YouTube,0,0,,3,4,0,0,0,0,0,"branje;gledališče;glasba, petje;slikanje, risanje, fotografija;družabne igre",odbojka;kolesarjenje,pop;indie
2016-06-12 06:27:35,19,M,Facebook;Twitter;Snapchat;YouTube,0,5,4,0,0,0,5,0,0,0,programiranje,"plavanje;smučanje, bordanje","pop;rock;elektronska glasba (drum'n'bass, trance, dance, trap, dubstep, techno...)"
2016-06-12 06:28:18,18,Ž,Facebook;Snapchat;Instagram;Tumblr;YouTube,0,0,0,3,3,2,2,0,0,0,branje,"tek, atletika","pop;elektronska glasba (drum'n'bass, trance, dance, trap, dubstep, techno...)"
2016-06-12 06:32:48,19,Ž,Facebook;Twitter;Snapchat;Instagram;Pinterest;Tumblr;YouTube,0,4,0,5,5,0,0,0,0,0,"branje;pisanje poezije, proze;ročna dela;reševanje ugank","smučanje, bordanje",pop;rock;klasična glasba
2016-06-12 06:33:00,18,M,Facebook;Snapchat;YouTube,0,3,4,0,0,3,5,0,0,0,programiranje;elektronika,kolesarjenje,pop;hardstyle
2016-06-12 06:38:36,18,Ž,Facebook;Twitter;Snapchat;Instagram;Pinterest;YouTube,4,2,3,3,3,1,2,5,3,4,"branje;gledališče;glasba, petje;slikanje, risanje, fotografija;kuhanje, kulinarika;družabne igre","tek, atletika",pop;rock;jazz;rap / hip-hop;funk;punk;blues
2016-06-12 06:43:09,18,Ž,Facebook;Snapchat;Instagram;Tumblr;YouTube,0,0,0,3,5,0,0,2,0,0,Nič,"tek, atletika",pop;r'n'b / soul
2016-06-12 06:48:43,19,Ž,Facebook;YouTube,0,4,4,3,3,0,0,0,0,0,branje;gledališče,telovadba,rock;alternativna
