created_at	author_screen_name	text
2016-06-26 21:57:24	GarbaMowalter	RT @Arsenal: Olivier - and @6_LKOSCIELNY - could feature today when #FRA take on #IRL at #EURO2016. Kick-off is at 2pm (UK time) https://t.…
2016-06-26 21:57:23	kacy_okafor	"RT @Squawka: Eden Hazard #EURO2016 by numbers:

3 games
88% pass accuracy
11 chances created
10 take-ons
2 assists https://t.co/5jdZNkDTB3"
2016-06-26 21:57:20	guardian_sport	"#Euro2016 video preview: #Ita face #Esp in heavyweight replay of 2012 final https://t.co/aOURKJNb1a
https://t.co/Q4YUddPRvL"
2016-06-26 21:57:19	TonJusticier	RT @alanshearer: MOM tonight by a mile tonight - @hazardeden10 Barely played all season so he looks fresh! #HUNBEL #EURO2016
2016-06-26 21:57:18	PowerfulDeGea	RT @ManUtd: Well done to Marouane Fellaini &amp; #BEL on securing a quarter-finals place at #Euro2016 after a 4-0 win vs Hungary. #BEL face #WA…
2016-06-26 21:57:17	NieNoy_xoxo	RT @DFB_Team_EN: Forget the assists. GOOOAAAALLLLL for Julian #Draxler! #JederFuerJeden #EURO2016 #GERSVK 3-0 https://t.co/dWIbmlR357
2016-06-26 21:57:17	RosalindCPH	"RT @guardian_sport: #Euro2016 video preview: #Eng are favourites but must not underestimate #Isl https://t.co/3pIwdCWR6Z
https://t.co/zMrBu…"
2016-06-26 21:57:17	theshoafer	".@MLS games might not be as ""high quality"" as #EURO2016 or #CopaAmerica, but they sure can be just as exciting sometimes #PORvHOU"
2016-06-26 21:57:16	kim_whee	RT @BelRedDevils: Last 8 ! We are Belgium ! Quarter-final on Friday against @FAWales in Lille, 21:00 ! #hunbel #tousenfrance #Euro2016 http…
2016-06-26 21:57:16	rungrat79837499	RT @BSchweinsteiger: Quarterfinal, here we come!! 🇩🇪 #GERSVK #DieMannschaft #EURO2016 https://t.co/vj6XJDnsKe
2016-06-26 21:57:15	Val_e_ree	RT @ToniKroos: Superior display of our @DFB_Team today! Now the #EURO2016 is getting interesting... https://t.co/VyuYbJIgZX
