position	team	degree	popularity	name	surname
Goalkeeper	Swiss	0.0	0.0	Roman	Bürki
Goalkeeper	Swiss	0.0	0.0	Yann	Sommer
Goalkeeper	Swiss	0.0	0.0	Marwin	Hitz
Defender	Swiss	0.0	0.0	Stephan	Lichtsteiner
Defender	Swiss	1.0	0.0	Michael	Lang
Defender	Swiss	0.0	0.0	Ricardo	Rodríguez
Defender	Swiss	0.0	0.0	Jacques	François Moubandje
Defender	Swiss	0.0	0.0	Johan	Djourou
Defender	Swiss	0.0	0.0	Fabian	Schär
Defender	Swiss	0.0	0.0	Steve	von Bergen
Defender	Swiss	0.0	0.0	Nico	Elvedi
Midfielder	Swiss	0.0	0.0	Valon	Behrami
Midfielder	Swiss	1.0	0.0	Granit	Xhaka
Midfielder	Swiss	0.0	0.0	Blerim	Dzemaili
Midfielder	Swiss	0.0	0.0	Gélson	Fernandes
Midfielder	Swiss	0.0	0.0	Fabian	Frei
Midfielder	Swiss	0.0	0.0	Denis	Zakaria
Midfielder	Swiss	5.0	0.0	Xherdan	Shaqiri
Midfielder	Swiss	0.0	0.0	Admir	Mehmedi
Midfielder	Swiss	0.0	0.0	Shani	Tarashaj
Forward	Swiss	0.0	0.0	Haris	Seferović
Forward	Swiss	0.0	0.0	Breel	Embolo
Forward	Swiss	0.0	0.0	Eren	Derdiyok
Goalkeeper	Turkey	0.0	0.0	Volkan	Babacan
Goalkeeper	Turkey	0.0	0.0	Onur	Kivrak
Goalkeeper	Turkey	0.0	0.0	Harun	Tekin
Defender	Turkey	0.0	0.0	Gökhan	Gönül
Defender	Turkey	0.0	0.0	Şener	Özbayraklı
Defender	Turkey	0.0	0.0	Hakan	Kadir Balta
Defender	Turkey	0.0	0.0	Ahmet	Çalık
Defender	Turkey	0.0	0.0	Mehmet	Topal
Defender	Turkey	0.0	0.0	Caner	Erkin
Defender	Turkey	0.0	0.0	İsmail	Köybaşı
Defender	Turkey	0.0	0.0	Semih	Kaya
Midfielder	Turkey	0.0	0.0	Ozan	Tufan
Midfielder	Turkey	0.0	0.0	Selçuk	İnan
Midfielder	Turkey	0.0	0.0	Oğuzhan	Özyakup
Midfielder	Turkey	0.0	0.0	Nuri	Şahin
Midfielder	Turkey	0.0	0.0	Hakan	Çalhanoğlu
Midfielder	Turkey	0.0	0.0	Arda	Turan
Midfielder	Turkey	0.0	0.0	Olcay	Şahan
Forward	Turkey	0.0	0.0	Burak	Yılmaz
